session_id,session_duration,pages_visited,avg_time_per_page,mouse_distance_avg,mouse_avg_speed,mouse_max_speed,mouse_idle_time,mouse_sharp_turns,mouse_straight_movements,avg_scroll_depth,avg_scroll_speed,total_scrolls,total_clicks,avg_time_between_clicks,avg_typing_speed,avg_shortcut_use,label
80015603-9a03-43d3-9bbb-97328865badd,15.0,1.0,15.0,6774.0810546875,1659.1190185546875,22671.568359375,0.0,266.0,13.0,1013.0,742.7723999023438,87.0,0.0,,0.0,0.0,1
809694eb-5fd2-44ef-a3d8-33197cb6da3c,9.0,1.0,9.0,3644.29443359375,1720.0736083984375,2983.286865234375,0.0,124.0,21.0,196.0,70.96070098876953,5696.0,32.0,15.161290322580646,0.0,0.0,1
80b9e096-29da-4dc8-9d67-366d6d3c3ac6,12.0,1.0,12.0,540.5540771484375,1493.2637939453125,3567.06787109375,0.0,20.0,1.0,1748.0,767.5962524414062,144.0,0.0,,0.0,0.0,1
810e1d4a-a207-429a-8fe4-1eee80c76d65,13.0,1.0,12.0,1533.008056640625,1451.6397705078125,2600.0,0.0,58.0,9.0,602.0,133.98838806152344,291.0,0.0,,0.0,0.0,1
813619fb-6899-4af7-ba90-b816401b9fab,9.0,1.0,9.0,1361.535400390625,562.6455078125,2996.664794921875,0.0,134.0,21.0,363.0,63.86732482910156,363.0,0.0,,0.0,0.0,1
82122252-3679-4a31-8557-ba72cd585015,11.0,1.0,10.0,6911.41064453125,1197.6082763671875,6403.1240234375,0.0,368.0,40.0,7229.0,14637.205625000024,16.0,0.0,,0.0,0.0,1
82498768-0135-4881-aa16-6c6d5629ed2d,8.0,1.0,7.0,3763.860595703125,713.3107299804688,3008.32177734375,0.0,326.0,34.0,243.0,177.16827392578125,87.0,0.0,,15.0,1.0,1
825eaa48-8ae5-4edf-bfe0-6ae636341e5e,18.0,1.0,17.0,4284.9345703125,714.092529296875,2887.320556640625,0.0,361.0,42.0,1567.0,2740.74072265625,28.0,0.0,,0.0,0.0,1
8267f7bd-faef-45a2-8707-11c31dd81aab,8.0,1.0,8.0,6823.66845703125,1097.9742431640625,3264.965576171875,0.0,384.0,46.0,503.0,859.8948974609375,37.0,0.0,,0.0,0.0,1
829c0023-72fe-4c3e-add1-18613e0310f3,6.0,1.0,6.0,604.9527587890625,973.334228515625,3041.38134765625,0.0,35.0,3.0,386.0,76.43438720703125,328.0,0.0,,0.0,0.0,1
